"Node","Sensitivity","Specificity","Excluded","Ref_Se","Ref_Sp","Delta_Se","Delta_Sp"
"Reader only",0.905484261620703,0.928007230516826,"ST038",0.90563948104325,0.927953981417988,-0.00015521942254737,5.32490988381928e-05
"AI only",0.919050821387982,0.942364564684873,"ST038",0.917948680308724,0.941733155814096,0.0011021410792581,0.000631408870777506
"Reader only",0.897260951249534,0.92732285944058,"ST039",0.90563948104325,0.927953981417988,-0.00837852979371678,-0.000631121977408
"AI only",0.91726657943579,0.940983225559125,"ST039",0.917948680308724,0.941733155814096,-0.000682100872934743,-0.000749930254970832
"Reader only",0.889259918397257,0.91460522880477,"ST040",0.90563948104325,0.927953981417988,-0.0163795626459933,-0.013348752613218
"AI only",0.918670665499727,0.940483746515349,"ST040",0.917948680308724,0.941733155814096,0.000721985191002861,-0.00124940929874695
"Reader only",0.906468527035,0.927728704750693,"ST041",0.90563948104325,0.927953981417988,0.000829045991749933,-0.000225276667295438
"AI only",0.918025971120042,0.942151446138503,"ST041",0.917948680308724,0.941733155814096,7.72908113175763e-05,0.000418290324407544
"Reader only",0.905209210286744,0.920533464629507,"ST042",0.90563948104325,0.927953981417988,-0.000430270756505924,-0.00742051678848166
"AI only",0.918006520698828,0.941800347498879,"ST042",0.917948680308724,0.941733155814096,5.78403901033697e-05,6.71916847831966e-05
"Reader only",0.906740356403888,0.927724070381632,"ST043",0.90563948104325,0.927953981417988,0.00110087536063774,-0.000229911036356611
"AI only",0.917506935110219,0.941992986764684,"ST043",0.917948680308724,0.941733155814096,-0.000441745198505039,0.000259830950588125
"Reader only",0.905945659137683,0.927650930580261,"ST044",0.90563948104325,0.927953981417988,0.000306178094432563,-0.000303050837727303
"AI only",0.917469973212349,0.94241280170373,"ST044",0.917948680308724,0.941733155814096,-0.000478707096375763,0.000679645889634095
"Reader only",0.90699485686599,0.928625007432399,"ST045",0.90563948104325,0.927953981417988,0.00135537582273981,0.000671026014410825
"AI only",0.918410543310596,0.943051663176936,"ST045",0.917948680308724,0.941733155814096,0.000461863001871676,0.00131850736284023
"Reader only",0.907097547705358,0.928249347709773,"ST046",0.90563948104325,0.927953981417988,0.0014580666621079,0.000295366291784394
"AI only",0.91970542115906,0.941900986444284,"ST046",0.917948680308724,0.941733155814096,0.00175674085033595,0.000167830630188548
"Reader only",0.916675982346603,0.933350240748447,"ST047",0.90563948104325,0.927953981417988,0.0110365013033529,0.00539625933045862
"AI only",0.918184578210447,0.941344127072175,"ST047",0.917948680308724,0.941733155814096,0.000235897901722404,-0.000389028741920705
"Reader only",0.907650947841635,0.928131110710381,"ST048",0.90563948104325,0.927953981417988,0.00201146679838515,0.000177129292392553
"AI only",0.919646632095402,0.941706527444871,"ST048",0.917948680308724,0.941733155814096,0.00169795178667775,-2.6628369225068e-05
"Reader only",0.906575635942202,0.927315578961268,"ST049",0.90563948104325,0.927953981417988,0.00093615489895138,-0.000638402456720422
"AI only",0.918136544954831,0.94223860326857,"ST049",0.917948680308724,0.941733155814096,0.000187864646106317,0.000505447454474672
"Reader only",0.906536820394294,0.928603388363827,"ST050",0.90563948104325,0.927953981417988,0.000897339351043636,0.000649406945839259
"AI only",0.917748760027745,0.941602965331013,"ST050",0.917948680308724,0.941733155814096,-0.000199920280979371,-0.000130190483083048
"Reader only",0.906543959669893,0.927710755000366,"ST051",0.90563948104325,0.927953981417988,0.000904478626643113,-0.000243226417621867
"AI only",0.91810402694943,0.942176595064069,"ST051",0.917948680308724,0.941733155814096,0.0001553466407056,0.000443439249973587
"Reader only",0.905612253337231,0.927891975777213,"ST052",0.90563948104325,0.927953981417988,-2.72277060193726e-05,-6.20056407754088e-05
